Airport_IATA,City_name,Country,Airport_Name,Latitude,Longitude
AKL,Auckland,New Zealand,Auckland International,-37.0089374,174.7863813
AMS,Amsterdam,Netherlands,Schiphol Airport,52.3169189,4.745924599999999
AUH,Abu Dhabi,United Arab Emirates,Zayed International,24.4420766,54.6499637
BCN,Barcelona,Spain,Josep Tarradellas Barcelona,41.3866708,2.1429647
BKI,Kota Kinabalu,Malaysia,Kota Kinabalu International,5.923283,116.0512391
BKK,Bangkok,Thailand,Suvarnabhumi International,13.6818969,100.7468694
BNE,Brisbane,Australia,Brisbane International,-27.4031731,153.1089798
BUD,Budapest,Hungary,Liszt Ferenc international,47.438516,19.2540304
CEB,Cebu,Philippines,Mactan International,10.309615,123.9167036
CGK,Jakarta,Indonesia,Soekarno-Hatta International,-6.126551,106.6550558
CNX,Chiang Mai,Thailand,Chiang Mai International,18.797887,99.004565
DAD,Da Nang,Vietnam,Da Nang International,16.0569804,108.2025372
DEL,Delhi,India,Indira Gandhi International,28.5561437,77.0999623
DMK,Bangkok,Thailand,Don Mueang International,13.9272289,100.5858593
DPS,Bali,Indonesia,Ngurah Rai,-8.7469933,115.1681655
DXB,Dubai,United Arab Emirates,Dubai International,25.2566932,55.36431779999999
FCO,Rome,Italy,Fiumicino,41.7735409,12.2397117
FRA,Frankfurt,Germany,Frankfurt International,50.0353788,8.5518391
HAN,Hanoi,Vietnam,Noi Bai International,21.0277644,105.8341598
HKG,Hong Kong ,"Hong Kong SAR, China",Hong Kong International,22.3134736,113.9137283
HNL,Honolulu,United States,Daniel K.Inouye International,21.3186623,-157.9254018
IAD,Washington D.C. ,United States,Dulles International,38.9071923,-77.0368707
IST,Istanbul,Turkiye,Istanbul International,41.0176639,28.9293373
JFK,New York,United States,John F.Kennedy International,40.6446124,-73.7797278
KHH,Kaohshiung,Taiwan,Kaohsiung International,22.5659992,120.3464873
KTM,Kathmandu,Nepal,Tribhuvan International,27.6991915,85.3566744
KUL,Kuala Lumpur,Malaysia,Kuala Lumpur International,3.051568,101.6718512
LAX,Los Angeles,United States,Los Angeles International,33.942153,-118.4036052
LHR,London,United Kingdom,Heathrow,51.4679914,-0.455051
LIS,Lisbon,Portugal,Lisbon International,38.7788454,-9.1319758
MAD,Madrid,Spain,Adolfo Suarez-Barajas,40.4895147,-3.5642764
MEX,Mexico City,Mexico,Benito Juarez International,19.4360762,-99.07190829999999
MFM,Macau,China,Macau International,22.1560645,113.5877289
MNL,Manila,Philippines,Ninoy Aquino International,14.615241,120.991061
PEK,Beijing,China,Capital International,40.0798573,116.6031121
PRG,Prague,Czechia,Vaclav Havel,50.10179100000001,14.2631811
PVG,Shanghai,China,Pudong International,31.1443439,121.808273
SFO,San Francisco,United States,San Francisco International,37.61911449999999,-122.3816274
SGN,Ho Chi Minh City,Vietnam,Tan Son Nhat International,10.8169828,106.6565808
SHA,Shanghai,China,Hongqiao International,31.192209,121.334297
SIN,Singapore,Singapore,Changi,1.3450101,103.9832089
SYD,Sydney,Australia,Kingsford Smith,-33.9373343,151.1670915
TPE,Taipei,Taiwan,Taoyuan International,25.0416129,121.5069349
TSA,Taipei,Taiwan,Songshan,25.0541591,121.5638621
WAW,Warsaw,Poland,Frederic Chopin,52.2227798,21.0221703
YUL,Montreal,Canada,Pierre E.Trudeau International,45.5018869,-73.56739189999999
YVR,Vancouver,Canada,Vancouver International,49.1933742,-123.1751283
YYZ,Toronto,Canada,Lester B.Pearson International,43.653226,-79.3831843
ZRH,Zurich,Switzerland,Zurich Airport,47.4617142,8.550859899999999
