Departure,Duration_td,Price,Duration_td_round
AKL,0 days 12:10:00,823863.6818181818,0 days 12:10:00
AMS,0 days 12:03:15.180722891,2142155.421686747,0 days 12:03:15.180722891
AUH,0 days 08:33:08.372093023,1472891.8604651163,0 days 08:33:08.372093023
BCN,0 days 12:27:36.250000,1177002.1041666667,0 days 12:27:36.250000
BKI,0 days 05:17:10.140845070,359890.2957746479,0 days 05:17:10.140845070
BKK,0 days 05:31:52.903225806,456918.5988420182,0 days 05:31:52.903225806
BNE,0 days 09:53:48.571428571,601370.4857142858,0 days 09:53:48.571428571
BUD,0 days 10:17:23.181818181,1384206.8181818181,0 days 10:17:23.181818181
CEB,0 days 04:38:20.934579439,269444.01557632396,0 days 04:38:20.934579439
CGK,0 days 07:19:47.878787878,567491.6464646464,0 days 07:19:47.878787878
CNX,0 days 05:17:22.105263157,436970.5,0 days 05:17:22.105263157
DAD,0 days 04:33:36.279069767,371083.8527131783,0 days 04:33:36.279069767
DEL,0 days 07:09:13.069306930,683060.396039604,0 days 07:09:13.069306930
DMK,0 days 05:35:00,177080.19565217392,0 days 05:35:00
DPS,0 days 07:15:29.875518672,720051.7012448133,0 days 07:15:29.875518672
DXB,0 days 09:02:51.428571428,1570666.612244898,0 days 09:02:51.428571428
FCO,0 days 11:38:41.428571428,1543235.3095238095,0 days 11:38:41.428571428
FRA,0 days 11:48:51.958762886,1772180.3195876288,0 days 11:48:51.958762886
GMP,0 days 02:23:59.189189189,271125.88063063065,0 days 02:23:59.189189189
HAN,0 days 04:14:31.186440677,478196.95480225986,0 days 04:14:31.186440677
HKG,0 days 03:42:46.292134831,288744.4756554307,0 days 03:42:46.292134831
HNL,0 days 09:45:09.486166007,1120244.5928853755,0 days 09:45:09.486166007
IAD,0 days 15:10:00,2239229.411764706,0 days 15:10:00
ICN,0 days 06:23:50.280424720,564923.4724566657,0 days 06:23:50.280424720
IST,0 days 09:55:04.677060133,1417268.2962138085,0 days 09:55:04.677060133
JFK,0 days 15:28:27.874015748,3335721.803149606,0 days 15:28:27.874015748
KHH,0 days 02:52:10.344827586,321846.5724137931,0 days 02:52:10.344827586
KTM,0 days 06:30:00,822869.2307692308,0 days 06:30:00
KUL,0 days 06:43:42.388059701,440858.53233830846,0 days 06:43:42.388059701
LAX,0 days 12:59:27.492260061,2338073.6625387,0 days 12:59:27.492260061
LHR,0 days 12:42:51.428571428,2864701.4736842103,0 days 12:42:51.428571428
LIS,0 days 13:01:54.705882352,1467938.2352941176,0 days 13:01:54.705882352
MAD,0 days 12:42:58.881987577,1789752.5714285714,0 days 12:42:58.881987577
MEX,0 days 18:32:00,1702120.0,0 days 18:32:00
MFM,0 days 03:40:49.700598802,320011.8602794411,0 days 03:40:49.700598802
MNL,0 days 04:04:37.560975609,260163.89918699188,0 days 04:04:37.560975609
PEK,0 days 02:05:50.684931506,269321.61187214614,0 days 02:05:50.684931506
PRG,0 days 11:14:34.285714285,1422537.142857143,0 days 11:14:34.285714285
PVG,0 days 02:00:00.712589073,324720.89786223276,0 days 02:00:00.712589073
SFO,0 days 12:29:11.592356687,2301125.9511677283,0 days 12:29:11.592356687
SGN,0 days 05:08:12.537313432,493620.447761194,0 days 05:08:12.537313432
SHA,0 days 02:00:26.796116504,345394.5708737864,0 days 02:00:26.796116504
SIN,0 days 06:32:25.588235294,643558.1411764706,0 days 06:32:25.588235294
SYD,0 days 10:35:11.688311688,682767.0714285715,0 days 10:35:11.688311688
TPE,0 days 02:32:24.250871080,437483.09407665505,0 days 02:32:24.250871080
TSA,0 days 02:27:31.162790697,339190.7131782946,0 days 02:27:31.162790697
WAW,0 days 11:20:00,1335310.6194690266,0 days 11:20:00
YUL,0 days 14:40:00,1655195.238095238,0 days 14:40:00
YVR,0 days 11:18:22.127659574,1471827.9007092197,0 days 11:18:22.127659574
YYZ,0 days 14:41:38.571428571,2090992.1,0 days 14:41:38.571428571
ZRH,0 days 11:50:17.142857142,1718396.6,0 days 11:50:17.142857142
